,year,bodyStyle,mileage,price,counts,ave_mile,ave_price
175,2009.0,Minivan,9559224.0,593516.0,75,127456.32,7913.546666666667
176,2009.0,Passenger Van,427883.0,69233.0,5,85576.6,13846.6
177,2009.0,Regular Cab Pickup,5292550.0,717584.0,56,94509.82142857143,12814.0
178,2009.0,SUV,121973972.0,13546029.0,1102,110684.18511796732,12292.222323049002
179,2009.0,Sedan,104093865.0,9378430.0,1019,102152.9587831207,9203.562315996074
180,2009.0,Wagon,7640344.0,589326.0,74,103247.8918918919,7963.864864864865
181,2010.0,Cargo Van,1086915.0,104768.0,11,98810.45454545454,9524.363636363636
182,2010.0,Convertible,8555058.0,4360766.0,153,55915.41176470588,28501.738562091505
183,2010.0,Coupe,39118224.0,10018994.0,528,74087.54545454546,18975.367424242424
184,2010.0,Crew Cab Pickup,80613345.0,14246522.0,749,107627.96395193592,19020.723631508677
185,2010.0,Extended Cab Pickup,21875044.0,3487575.0,218,100344.23853211009,15998.050458715596
186,2010.0,Hatchback,20247599.0,1850106.0,215,94174.87906976744,8605.144186046511
187,2010.0,Minivan,14861923.0,1114598.0,129,115208.7054263566,8640.29457364341
188,2010.0,Passenger Van,1786271.0,261986.0,19,94014.26315789473,13788.736842105263
189,2010.0,Regular Cab Pickup,8485792.0,1272878.0,86,98672.0,14800.906976744185
190,2010.0,SUV,182538717.0,24343746.0,1763,103538.69370391378,13808.137266023823
191,2010.0,Sedan,124424195.0,13028026.0,1284,96903.57866043613,10146.43769470405
192,2010.0,Wagon,12162393.0,1171655.0,119,102204.98319327731,9845.840336134454
193,2011.0,Cargo Van,1073978.0,216165.0,11,97634.36363636363,19651.363636363636
194,2011.0,Convertible,13207554.0,5763002.0,240,55031.475,24012.508333333335
195,2011.0,Coupe,30702869.0,9457697.0,459,66890.78213507625,20605.004357298476
196,2011.0,Crew Cab Pickup,89408903.0,19725429.0,900,99343.22555555556,21917.143333333333
197,2011.0,Extended Cab Pickup,22184355.0,4276759.0,244,90919.48770491804,17527.700819672133
198,2011.0,Hatchback,22750938.0,3427530.0,285,79827.85263157895,12026.421052631578
199,2011.0,Minivan,21020684.0,2397930.0,196,107248.38775510204,12234.336734693878
200,2011.0,Passenger Van,1338913.0,278151.0,16,83682.0625,17384.4375
201,2011.0,Regular Cab Pickup,7912356.0,1481350.0,98,80738.32653061225,15115.816326530612
202,2011.0,SUV,241618756.0,37977037.0,2513,96147.53521687226,15112.231197771587
203,2011.0,Sedan,149472627.0,20415224.0,1729,86450.33371891266,11807.532677848467
204,2011.0,Wagon,11985635.0,1479628.0,136,88129.66911764706,10879.617647058823
205,2012.0,Cargo Van,1512623.0,267178.0,17,88977.82352941176,15716.35294117647
206,2012.0,Convertible,9072801.0,5909024.0,200,45364.005,29545.12
207,2012.0,Coupe,34194905.0,14415856.0,592,57761.66385135135,24351.108108108107
208,2012.0,Crew Cab Pickup,96949301.0,26732052.0,1099,88215.92447679708,24323.978161965424
209,2012.0,Extended Cab Pickup,16006245.0,3515658.0,188,85139.60106382979,18700.308510638297
210,2012.0,Hatchback,38546677.0,7315742.0,530,72729.57924528302,13803.286792452831
211,2012.0,Minivan,17292185.0,2469660.0,189,91493.04232804233,13066.984126984127
212,2012.0,Passenger Van,937509.0,194117.0,12,78125.75,16176.416666666666
213,2012.0,Regular Cab Pickup,8106587.0,1676017.0,98,82720.27551020408,17102.214285714286
214,2012.0,SUV,221712099.0,43532841.0,2572,86202.21578538102,16925.676905132193
215,2012.0,Sedan,154873898.0,24521179.0,1941,79790.77691911387,12633.270994332817
216,2012.0,Wagon,11391563.0,1753103.0,143,79661.27972027972,12259.461538461539
217,2013.0,Cargo Van,1754919.0,449543.0,25,70196.76,17981.72
218,2013.0,Convertible,10120022.0,7347448.0,252,40158.81746031746,29156.539682539682
219,2013.0,Coupe,41983916.0,20473508.0,833,50400.859543817525,24578.04081632653
220,2013.0,Crew Cab Pickup,99722776.0,34395250.0,1286,77544.92690513219,26745.917573872473
221,2013.0,Extended Cab Pickup,18260393.0,5341114.0,252,72461.87698412698,21194.896825396827
222,2013.0,Hatchback,42834303.0,9390816.0,677,63270.757754800594,13871.220088626293
223,2013.0,Minivan,13970351.0,2451139.0,167,83654.79640718563,14677.479041916167
224,2013.0,Passenger Van,1966723.0,472728.0,26,75643.19230769231,18181.846153846152
225,2013.0,Regular Cab Pickup,8668675.0,2276042.0,121,71641.94214876032,18810.26446280992
226,2013.0,SUV,246018273.0,63986874.0,3286,74868.61625076081,19472.572732805842
227,2013.0,Sedan,193845020.0,42470171.0,2843,68183.26415758002,14938.505451987337
228,2013.0,Wagon,12627710.0,2565212.0,186,67890.91397849462,13791.462365591398
229,2014.0,Cargo Van,2312483.0,939176.0,41,56402.0243902439,22906.731707317074
230,2014.0,Convertible,9579326.0,11081705.0,277,34582.40433212996,40006.15523465704
231,2014.0,Coupe,34696436.0,29525765.0,907,38254.06394707828,32553.213891951487
232,2014.0,Crew Cab Pickup,114755063.0,51018010.0,1765,65017.0328611898,28905.388101983004
233,2014.0,Extended Cab Pickup,13792804.0,4962638.0,215,64152.576744186044,23082.037209302325
234,2014.0,Hatchback,28480052.0,9688191.0,555,51315.40900900901,17456.2
235,2014.0,Minivan,16722926.0,4067828.0,244,68536.58196721312,16671.426229508197
236,2014.0,Passenger Van,988786.0,491231.0,20,49439.3,24561.55
237,2014.0,Regular Cab Pickup,8610505.0,2883280.0,148,58179.08783783784,19481.62162162162
238,2014.0,SUV,249597257.0,90096186.0,4026,61996.338052657724,22378.58569299553
239,2014.0,Sedan,193922828.0,62725353.0,3487,55613.085173501575,17988.343275021507
240,2014.0,Wagon,10759747.0,3017251.0,198,54342.156565656565,15238.641414141413
241,2015.0,Cargo Van,4472414.0,2029119.0,93,48090.47311827957,21818.483870967742
242,2015.0,Convertible,10544708.0,14276067.0,369,28576.444444444445,38688.528455284555
243,2015.0,Coupe,52227438.0,56281566.0,1705,30631.9284457478,33009.716129032255
244,2015.0,Crew Cab Pickup,134529075.0,91561521.0,2750,48919.663636363635,33295.098545454544
245,2015.0,Extended Cab Pickup,17148570.0,10453983.0,399,42978.87218045113,26200.458646616542
246,2015.0,Hatchback,39778031.0,19252499.0,1085,36661.7797235023,17744.23870967742
247,2015.0,Minivan,22150564.0,10521145.0,486,45577.292181069955,21648.446502057614
248,2015.0,Passenger Van,1221009.0,616541.0,26,46961.88461538462,23713.115384615383
249,2015.0,Regular Cab Pickup,5519509.0,3014615.0,123,44874.0569105691,24509.065040650406
250,2015.0,SUV,390663361.0,230106645.0,8717,44816.26259034072,26397.458414592176
251,2015.0,Sedan,268826096.0,138387237.0,6778,39661.566243729714,20417.119651814693
252,2015.0,Wagon,10743789.0,5129617.0,264,40696.170454545456,19430.367424242424
253,2016.0,Cargo Van,1717389.0,1417459.0,54,31803.5,26249.24074074074
254,2016.0,Convertible,6991103.0,11979408.0,298,23460.077181208053,40199.355704697984
255,2016.0,Coupe,28550814.0,56769836.0,1387,20584.58111031002,40929.94664744052
256,2016.0,Crew Cab Pickup,96371827.0,96367757.0,2780,34666.12482014389,34664.66079136691
257,2016.0,Extended Cab Pickup,10216695.0,9027767.0,329,31053.784194528875,27440.021276595744
258,2016.0,Hatchback,24152238.0,19210287.0,830,29099.081927710842,23144.92409638554
259,2016.0,Minivan,16550653.0,10190212.0,454,36455.18281938326,22445.40088105727
260,2016.0,Passenger Van,1674748.0,1666778.0,55,30449.963636363635,30305.054545454546
261,2016.0,Regular Cab Pickup,4769121.0,4448580.0,163,29258.411042944786,27291.9018404908
262,2016.0,SUV,262670137.0,217384446.0,7498,35032.02680714857,28992.324086423047
263,2016.0,Sedan,174080267.0,116172785.0,5301,32839.13733257876,21915.258441803435
264,2016.0,Wagon,3235837.0,2001210.0,104,31113.81730769231,19242.403846153848
265,2017.0,Cargo Van,2855790.0,2799365.0,112,25498.125,24994.33035714286
266,2017.0,Convertible,5308333.0,13460706.0,298,17813.197986577183,45170.154362416106
267,2017.0,Coupe,15143159.0,48828887.0,1066,14205.590056285178,45805.71013133208
268,2017.0,Crew Cab Pickup,57737998.0,97780861.0,2558,22571.539483971854,38225.51250977326
269,2017.0,Extended Cab Pickup,4209998.0,6398184.0,239,17615.05439330544,26770.644351464434
